Iteration,Discriminator Loss,Generator Loss
0,1.492034,0.714941
10,1.367725,0.622090
20,1.364981,0.683980
30,1.353592,0.701694
40,1.358093,0.687028
50,1.333859,0.637128
60,1.346063,0.662366
70,1.335997,0.685251
80,1.335752,0.671841
90,1.351446,0.679749
100,1.341539,0.690943
110,1.353445,0.671520
120,1.344298,0.712427
130,1.317711,0.662605
140,1.291459,0.646231
150,1.335387,0.666024
160,1.332560,0.689833
170,1.332321,0.729458
180,1.320172,0.678094
190,1.309013,0.660162
200,1.347344,0.696954
210,1.348788,0.702514
220,1.299099,0.621150
230,1.336250,0.669286
240,1.321986,0.716911
250,1.317707,0.680817
260,1.325677,0.680082
270,1.342192,0.648625
280,1.305689,0.673705
290,1.302917,0.648467
300,1.355199,0.715700
310,1.351773,0.701486
320,1.347885,0.702326
330,1.324086,0.675719
340,1.343351,0.689143
350,1.316833,0.682407
360,1.316147,0.656642
370,1.285073,0.705526
380,1.271255,0.695087
390,1.348760,0.697009
400,1.326008,0.714493
410,1.346755,0.725008
420,1.274642,0.622926
430,1.335349,0.679202
440,1.312000,0.656181
450,1.296965,0.634172
460,1.256724,0.687743
470,1.339818,0.725835
480,1.335585,0.704128
490,1.340626,0.720415
500,1.331899,0.786373
510,1.358939,0.768703
520,1.320170,0.704002
530,1.337968,0.708032
540,1.306819,0.653857
550,1.293006,0.652052
560,1.333738,0.664260
570,1.325085,0.714911
580,1.335176,0.709193
590,1.300660,0.674319
600,1.310755,0.663872
610,1.248589,0.657656
620,1.346588,0.721811
630,1.341726,0.685873
640,1.324238,0.771071
650,1.284257,0.670467
660,1.226624,0.668747
670,1.204188,0.642030
680,1.297547,0.636179
690,1.269986,0.728136
700,1.293811,0.640845
710,1.303125,0.737024
720,1.261888,0.627233
730,1.321250,0.730608
740,1.316505,0.660436
750,1.332671,0.818974
760,1.341965,0.713021
770,1.297050,0.600439
780,1.270106,0.654983
790,1.331122,0.670256
800,1.250432,0.646992
810,1.312060,0.620268
820,1.269088,0.603456
830,1.277475,0.689977
840,1.402330,0.639507
850,1.327563,0.693523
860,1.314380,0.793470
870,1.222224,0.614625
880,1.369193,0.690414
890,1.349680,0.678128
900,1.348311,0.722847
910,1.298781,0.706068
920,1.327316,0.771059
930,1.252204,0.781355
940,1.347266,0.677830
950,1.298053,0.641853
960,1.248278,0.663523
970,1.309481,0.653526
980,1.255459,0.660050
990,1.341187,0.805343
1000,1.331262,0.664430
1010,1.235671,0.648430
1020,1.289908,0.768728
1030,1.338488,0.813617
1040,1.271685,0.605835
1050,1.253492,0.625506
1060,1.358469,0.848148
1070,1.283562,0.698696
1080,1.183271,0.675085
1090,1.347461,0.783265
1100,1.355187,0.742612
1110,1.347326,0.793217
1120,1.324425,0.699184
1130,1.265732,0.729812
1140,1.310723,0.741570
1150,1.316407,0.671811
1160,1.196470,0.714249
1170,1.298372,0.688272
1180,1.265398,0.585778
1190,1.292512,0.795193
1200,1.217851,0.710932
1210,1.336223,0.661865
1220,1.349963,0.727575
1230,1.178762,0.645853
1240,1.360835,0.847468
1250,1.314784,0.705131
1260,1.339532,0.599609
1270,1.230387,0.594206
1280,1.355183,0.779258
1290,1.334951,0.716769
1300,1.317939,0.672339
1310,1.265370,0.722139
1320,1.332659,0.664744
1330,1.252195,0.747654
1340,1.293695,0.786299
1350,1.349446,0.735439
1360,1.329111,0.582014
1370,1.292704,0.726016
1380,1.396446,0.622252
1390,1.348679,0.632820
1400,1.302101,0.603838
1410,1.353692,0.806613
1420,1.336017,0.756305
1430,1.340187,0.787619
1440,1.333045,0.884410
1450,1.321995,0.736693
1460,1.357248,0.813902
1470,1.211631,0.638700
1480,1.266902,0.642355
1490,1.314045,0.693232
1500,1.230339,0.601551
1510,1.352088,0.651926
1520,1.349007,0.691491
1530,1.364099,0.780420
1540,1.323069,0.568838
1550,1.245251,0.722674
1560,1.319825,0.558037
1570,1.326906,0.603889
1580,1.346694,0.806033
1590,1.263571,0.653678
1600,1.294187,0.696850
1610,1.305959,0.767154
1620,1.215954,0.642400
1630,1.298984,0.720070
1640,1.328303,0.711687
1650,1.248012,0.698245
1660,1.348529,0.633711
1670,1.421407,0.825771
1680,1.219891,0.617417
1690,1.342692,0.594048
1700,1.338323,0.800581
1710,1.298423,0.702977
1720,1.260251,0.813720
1730,1.326292,0.715991
1740,1.274662,0.599358
1750,1.320351,0.956803
1760,1.271578,0.588999
1770,1.251219,0.728151
1780,1.240196,0.613866
1790,1.339234,0.710726
1800,1.446451,0.582084
1810,1.356784,0.834690
1820,1.340822,0.756794
1830,1.327552,0.680158
1840,1.342882,0.715662
1850,1.368464,0.619956
1860,1.363254,0.739408
1870,1.243413,0.612064
1880,1.323780,0.591935
1890,1.359523,0.852486
1900,1.314061,0.607566
1910,1.195271,0.567260
1920,1.365824,0.639520
1930,1.393020,0.814697
1940,1.286564,0.622272
1950,1.366164,0.756454
1960,1.313112,0.608558
1970,1.295127,0.650645
1980,1.425516,0.798219
1990,1.235875,0.593676
2000,1.244736,0.719133
2010,1.322853,0.793008
2020,1.298422,0.691374
2030,1.356042,0.640642
2040,1.376402,0.696887
2050,1.345760,0.849588
2060,1.325327,0.689205
2070,1.158328,0.643194
2080,1.319749,0.784280
2090,1.305953,0.694219
2100,1.298914,0.720915
2110,1.294476,0.696932
2120,1.294183,0.577338
2130,1.304510,0.766372
2140,1.235584,0.678173
2150,1.303463,0.740449
2160,1.321111,0.699242
2170,1.307287,0.795522
2180,1.324252,0.673763
2190,1.278164,0.644748
2200,1.274971,0.652191
2210,1.365002,0.602001
2220,1.344080,0.862459
2230,1.300058,0.599102
2240,1.287788,0.683694
2250,1.353708,0.654989
2260,1.275380,0.699189
2270,1.371701,0.609239
2280,1.364625,0.746454
2290,1.228423,0.610461
2300,1.421836,0.848143
2310,1.320164,0.721558
2320,1.284138,0.613263
2330,1.318248,0.585964
2340,1.244873,0.681739
2350,1.297670,0.633512
2360,1.296072,0.746033
2370,1.245637,0.727005
2380,1.339616,0.880061
2390,1.392110,0.751980
2400,1.274101,0.598884
2410,1.417345,0.857143
2420,1.388604,0.849807
2430,1.292364,0.640718
2440,1.301897,0.584157
2450,1.375270,0.813304
2460,1.316594,0.508931
2470,1.347103,0.799940
2480,1.303348,0.639846
2490,1.299987,0.757343
2500,1.254606,0.594108
2510,1.248434,0.691421
2520,1.195534,0.679442
2530,1.261387,0.822959
2540,1.296318,0.659317
2550,1.290773,0.508402
2560,1.313533,0.759894
2570,1.174098,0.626655
2580,1.304544,0.639691
2590,1.268762,0.689767
2600,1.219702,0.567868
2610,1.216954,0.700391
2620,1.298843,0.587584
2630,1.257639,0.515927
2640,1.334247,0.543162
2650,1.350110,0.714385
2660,1.310318,0.706277
2670,1.323249,0.559746
2680,1.232167,0.584429
2690,1.297068,0.572222
2700,1.367604,0.631291
2710,1.363850,0.652522
2720,1.354877,0.796166
2730,1.252393,0.752586
2740,1.362945,0.839056
2750,1.319086,0.688910
2760,1.359488,0.841428
2770,1.193841,0.684329
2780,1.329283,0.549230
2790,1.457364,0.788703
2800,1.229826,0.648353
2810,1.304541,0.614746
2820,1.319854,0.776977
2830,1.345785,0.806569
2840,1.287394,0.728268
2850,1.271404,0.685677
2860,1.350249,0.735179
2870,1.328460,0.643205
2880,1.324829,0.735033
2890,1.306856,0.646148
2900,1.336165,0.761250
2910,1.246251,0.482466
2920,1.418977,0.674923
2930,1.323159,0.664377
2940,1.283831,0.561517
2950,1.368040,0.742419
2960,1.328198,0.603676
2970,1.216835,0.508795
2980,1.352516,0.783928
2990,1.400031,0.654598
3000,1.353687,0.518434
